key,de-DE,en-US,it-IT,es-ES
custom.data.type.getty.config.option.mask.editor_style.value.inline,Eingebettet,Embeded,,
custom.data.type.getty.config.option.mask.editor_style.value.popover,Popover,Popover,,
custom.data.type.getty.config.option.mask.show_infopopup.value.false,"""Kein Infopopup""","""No infopopup""",,
custom.data.type.getty.config.option.mask.show_infopopup.value.true,"""Mit Infopopup""","""With infopopup""",,
custom.data.type.getty.config.parameter.schema.exact_types.value.label,Auf Subklasse beschränken,Limit to subclass,,
custom.data.type.getty.edit.modal.title|text,Getty-Verknüpfung,Getty-node,,
custom.data.type.getty.edit.no_getty,Keine Getty-Verknüpfung gesetzt,No valid Getty-node,,
custom.data.type.getty.edit.no_valid_getty,Keine valide Getty-Verknüpfung,No valid Getty-node,,
custom.data.type.getty.modal.form.text.count,Anzahl Vorschläge,Count suggestions,,
custom.data.type.getty.modal.form.text.label,Text,Text,,
custom.data.type.getty.modal.form.text.result.label,Gewählter Eintrag,Selected entry,,
custom.data.type.getty.modal.form.text.result.placeholder,noch leer,empty,,
custom.data.type.getty.modal.form.text.searchbar,Suchbegriff eingeben,Enter search query,,
custom.data.type.getty.modal.form.text.searchbar.placeholder,Suchbegriff eingeben ...,Enter search query...,,
custom.data.type.getty.modal.form.text.type,Suche auf Typ einschränken,Narrow down search to type,,
custom.data.type.getty.modal.form.text.uri.label,Zugehörige URI,Related URI,,
custom.data.type.getty.modal.form.text.uri.label.placeholder,noch leer,empty,,
custom.data.type.getty.modal.form.url.placeholder,Getty-Verknüpfung,Getty-node,,
custom.data.type.getty.name,Getty-Verknüpfung,Getty-node,,
custom.data.type.getty.config.parameter.mask.editor_style,Editor-Stil,Editor style,,
custom.data.type.getty.config.parameter.mask.infopop.info.label,Informationen über den Datensatz,Informations about the record,,
custom.data.type.getty.config.parameter.mask.infopop.labels.label,Namensformen,Labels,,
custom.data.type.getty.config.parameter.schema.add_aat.value.label,Durchsuche,Search,,
custom.data.type.getty.config.parameter.schema.add_tgn.value.label,Durchsuche,Search,,
custom.data.type.getty.config.parameter.schema.add_ulan.value.label,Durchsuche,Search,,
custom.data.type.getty.config.parameter.schema.add_aat.value.checkbox,Art & Architecture Thesaurus,Art & Architecture Thesaurus,,
custom.data.type.getty.config.parameter.schema.add_tgn.value.checkbox,Getty Thesaurus of Geographic Names,Getty Thesaurus of Geographic Names,,
custom.data.type.getty.config.parameter.schema.add_ulan.value.checkbox,Union List of Artist Names,Union List of Artist Names,,
custom.data.type.getty.url.tooltip,zu **%(name)s** bei Getty Vocabularies springen,jump to **%(name)s** at Getty Vocabularies,,
custom.data.type.getty.config.parameter.mask.infopop.labels.uri,Identifier,Identifier,,
custom.data.type.getty.config.parameter.mask.infopop.labels.broader,Übergeordnet,Broader,,
custom.data.type.getty.config.parameter.mask.infopop.labels.preflabel,Bezeichnung,Preferred label,,
custom.data.type.getty.config.parameter.mask.infopop.labels.note,Notiz,Note,,
custom.data.type.getty.config.parameter.schema.start_parent_id.value.label,startParentID,startParentID,,
server.config.name.system.update_getty,getty-Update-Einstellungen,getty-Update-Settings,,
server.config.parameter.system.update_getty.restrict_time.label,Beschränke Updates auf bestimmte Stunden?,Restrict updates to specific hours?,,
server.config.parameter.system.update_getty.restrict_time.checkbox,Ja - beschränken,Yes - restrict,,
server.config.parameter.system.update_getty.from_time.label,Stunde von (Zahl 0-24),Hour from (Int 0-24),,
server.config.parameter.system.update_getty.to_time.label,Stunde bis (Zahl 0-24),Hour to (Int 0-24),,
custom.data.type.getty.config.parameter.mask.editor_display.value.label,Editor-Ansicht,Editor-Display,,
custom.data.type.getty.config.option.mask.editor_display.value.default,Standard,Default,,
custom.data.type.getty.config.option.mask.editor_display.value.condensed,1 Zeile,One-liner,,